Year,Hong Kong,China,Taiwan,United States of America,World
1997,1.204,1.515,1.05,1.69,2.001
1998,1.352,1.515,1.05,1.69,1.988
1999,1.352,1.515,1.05,1.69,2.008
2000,1.287,1.515,1.103,1.924,1.978
2001,1.239,1.515,0.836,1.781,1.971
2002,1.239,1.515,0.836,2.018,1.974
2003,1.54,1.515,0.836,2.018,1.971
2004,1.826,1.515,0.974,2.018,1.989
2005,1.699,1.41,0.919,2.065,1.987
2006,1.699,1.41,0.919,2.065,1.999
2007,1.699,1.41,0.866,2.065,2.021
2008,1.699,1.588,0.916,2.223,2.033
2009,1.699,1.756,0.58,2.43,2.044
2010,2.041,1.529,0.51,2.655,2.079
2011,2.041,1.529,0.51,2.655,2.101
2012,2.204,1.529,0.51,2.655,2.12
2013,2.298,1.598,0.51,2.655,2.129
2014,3.139,1.598,0.664,2.655,2.162
2015,3.21,1.598,0.589,2.74,2.173
2016,3.164,1.598,0.886,3.172,2.22
2017,3.164,1.768,0.886,3.523,2.244
2018,3.164,1.768,1.119,3.523,2.267
2019,3.933,1.768,1.119,3.523,2.299
2020,3.981,1.464,1.351,3.727,2.325
